Station_number,Observation_time,Showalter_index,Lifted_index,SWEAT_index,Precipitable_water_mm_for_entire_sounding
42647,160927/0000,0.13,-1.55,211.59,41.18
42647,160927/0600,3.16,2.2,182.6,35.23
42647,160927/1200,1.68,-2.24,221.8,39.2
42647,160927/1800,2.44,-1.11,183.21,40.34
42647,160928/0000,0.91,-1.79,186.39,43.01
42647,160928/0600,3.24,3.19,179.21,37.68
42647,160928/0900,7.17,-1.33,130.4,36.02
42647,160928/1800,7.06,-1.02,152,33.95
42647,160929/0000,3.79,0.62,163,34.72
42647,160929/0300,12.37,1.73,30.98,30.69
42647,160929/1200,-0.11,-2.19,227.79,33.73
42647,160929/1800,1.47,-2.79,205.78,44
42647,160930/0000,10.61,-0.3,28.01,34.26
42647,160930/0600,5.22,-0.31,163.39,38.22
42647,160930/1200,0.75,-0.27,230.39,47.24
42647,160930/1800,2.11,-1.33,208.58,51.51
42647,160801/0000,-1.15,-1.53,272.4,68.31
42647,160801/0900,-3.67,-5.25,275.99,73.26
42647,160802/0000,-2.37,-3.53,257.59,74.84
42647,160802/1200,-1.87,-4.26,257.99,71.76
42647,160804/0000,-1.11,-3.51,268,73.27
42647,160804/0600,1.14,-2.27,245,69.38
42647,160804/1200,-1.64,-5.4,266.01,73.87
42647,160804/1800,-2.36,-4.09,259.4,82.18
42647,160805/0000,-0.15,-2.14,250.41,77.08
42647,160805/0600,-0.3,-3.23,255.61,74.63
42647,160805/1200,-0.41,-4.81,243.78,67.64
42647,160805/1800,-2.48,-4.91,254.4,77.4
42647,160806/0000,-1.63,-2.4,259.59,77.16
42647,160806/0600,-0.71,-1.7,264.99,74.1
42647,160806/1200,-0.75,-0.99,277.39,74.75
42647,160806/1800,-0.24,-1.44,270.19,76.78
42647,160807/0000,-0.26,-0.55,266,76.49
42647,160807/1200,-0.75,-2.49,269.41,76.96
42647,160808/0000,-0.77,-0.73,260.6,75.54
42647,160808/1200,-0.03,-2.69,273.01,74.36
42647,160809/0000,-1.94,-1.84,276.21,77.74
42647,160809/1200,-1.28,-2.6,280.4,76.95
42647,160810/0000,-2.46,-2.95,291.99,74.9
42647,160811/0000,-0.08,-2.14,252.42,69.18
42647,160811/1200,-1,-5.46,254,69.5
42647,160812/0000,0.35,-12.26,242.58,70.77
42647,160812/1200,-0.44,-2.8,247.22,65.26
42647,160813/1200,1.39,-1.51,244.61,58.44
42647,160814/0000,-1.69,-2.47,263.41,56.59
42647,160814/1200,0.28,-2,255.39,55.28
42647,160815/0000,1.12,-0.81,247.41,49.18
42647,160815/1200,0.89,-0.17,256.02,49.2
42647,160816/0000,2.71,0.46,244.4,42.23
42647,160816/1200,2.16,-0.38,366.31,45.62
42647,160817/0000,2.62,-0.83,230.99,43.05
42647,160817/1200,1.85,0.88,249.39,45.7
42647,160818/0000,8.12,4.19,226.8,46.77
42647,160818/1200,6.68,3.84,221.59,42.28
42647,160819/0000,5.83,4.96,235.61,48.53
42647,160819/1200,-1.59,-3.78,265.01,65.85
42647,160820/0000,0.47,0.27,252.61,70.44
42647,160820/1200,-0.02,-1.75,269.62,72.39
42647,160821/0000,2.5,0.44,269.38,64.35
42647,160821/1200,-1.17,-3.81,282.59,75.9
42647,160822/0000,0.63,-0.02,255.4,65.72
42647,160822/1200,1.31,-2.95,264.8,65.57
42647,160823/0000,-3.25,-1.01,293.79,69.51
42647,160823/1200,-3.43,-5.11,284,76.06
42647,160824/0000,-0.06,0.75,262.4,75.54
42647,160824/1200,1.42,0.68,256.82,66.29
42647,160825/0000,-0.57,-1.29,249.61,71.49
42647,160825/1200,-1,-2.88,237.4,70.37
42647,160826/0000,-0.46,-1.7,248.98,68.71
42647,160826/1200,-1.46,-2.17,245.19,67.27
42647,160827/0000,-1.66,-3.32,253.99,71.95
42647,160827/1200,-0.59,-2.73,246.98,70.52
42647,160828/0000,-0.56,-4.17,234.2,73.93
42647,160828/1200,-0.03,-4.37,253.19,71.12
42647,160829/0000,-0.76,-2.02,253.38,72.69
42647,160829/1200,-0.87,-4.72,242.79,70.53
42647,160830/0000,-0.5,-2.94,249.21,70.54
42647,160830/1200,-2.05,-3.37,250.79,73.36
42647,160831/0000,-2.05,-4.46,235.99,69.68
42647,160831/1200,-1.55,-6.57,245.78,69.32
42647,160701/0000,2.21,-0.18,270,80.71
42647,160702/0000,-0.48,-2.29,268.39,70.7
42647,160703/0000,-4.38,-5.3,290.21,72.13
42647,160703/1200,-5.92,-7.08,298.01,78.34
42647,160704/0000,-4.07,-5.08,289.62,75.71
42647,160704/1200,-1.29,-0.57,262.99,68.73
